Dealer,Invoice No,Date,Product,Batch,Expiry,HSN,MRP,Rate,Qty,Amount
S.S.B. Pharmaceutical,S000645,6/11/2026,Anawin 0.5%,KM144331,27-Nov,30049034,33.3,25.24,10,252.4
S.S.B. Pharmaceutical,S000645,6/11/2026,Cort'S,SM107269,28-Oct,30031000,93.9,72.95,10,729.5
S.S.B. Pharmaceutical,S000645,6/11/2026,BD S Phenol Carb,BV447017,27-Oct,30041050,47.7,19.05,10,190.5
S.S.B. Pharmaceutical,S000645,6/11/2026,Genticyn 80Inj,AHL0097,27-Jul,30022024,128,7.89,2,93.22
S.S.B. Pharmaceutical,S000645,6/11/2026,Rantac Inj 2ML,XIR225047,27-Jun,3004,10.35,7.48,10,78.9
S.S.B. Pharmaceutical,S000645,6/11/2026,Phenergan 2ML Inj,AHL0123,27-Nov,30039090,7.48,4.29,10,42.9
S.S.B. Pharmaceutical,S000645,6/11/2026,Ondem Inj,OND25321SR,28-Jul,30039090,16.72,12.74,10,127.4
S.S.B. Pharmaceutical,S000645,6/11/2026,Vasocon 1ML,KP85428,26-Oct,30049081,12.72,9.7,10,48.5
S.S.B. Pharmaceutical,S000645,6/11/2026,Lasix Amp 4ML Inj,2125233,28-Nov,30049099,13.04,10,10,100
S.S.B. Pharmaceutical,S000645,6/11/2026,Clavam 1.2GM Inj,25444675,27-May,90192090,12.76,10.21,10,102.1
S.S.B. Pharmaceutical,S000645,6/11/2026,Isopropyl Alcohol,DB-21,27-Nov,30039090,160,47.62,1,47.62
S.S.B. Pharmaceutical,S000645,6/11/2026,Betadine 500ML Sol 10%,MK05425,27-Aug,30067000,151.33,85.71,5,428.55
S.S.B. Pharmaceutical,S000645,6/11/2026,Povidine 250GM Ointment,E-35525,,3004,421.87,152.38,1,152.38
S.S.B. Pharmaceutical,S000645,6/11/2026,Bains Circuit (Adult),MK0130724,27-Mar,90183990,3093.75,666.67,1,666.67
S.S.B. Pharmaceutical,S000645,6/11/2026,NS 100ML INFU,5C342109,28-Nov,30041030,21,11.43,100,1143
S.S.B. Pharmaceutical,S000645,6/11/2026,NS 1000ML (MKA),P2604L075,28-Mar,30049099,61.17,30.48,12,365.76
S.S.B. Pharmaceutical,S000645,6/11/2026,RL 1000ML (MKA),RLL25016,27-Jun,30041050,111.25,32.38,12,388.56
S.S.B. Pharmaceutical,S000645,6/11/2026,RL 500ML (MKA) LD,F2605F016,27-Dec,30049095,59.31,18.57,25,464.25
S.S.B. Pharmaceutical,S000645,6/11/2026,NS 500ML (MKA),F2604F072,28-Jan,30049099,36.6,17.62,25,440.5
S.S.B. Pharmaceutical,S000670,6/13/2026,ET Tube Nasal 6.5,NET25D76/1,30-Mar,300490,1800,523.81,5,2619.05
S.S.B. Pharmaceutical,S000670,6/13/2026,ET Tube Nasal 7.0,NET25D61,30-Mar,300490,1800,523.81,5,2619.05
S.S.B. Pharmaceutical,S000670,6/13/2026,ET Tube Nasal 7.5,NET25062,30-Mar,300490,1800,523.81,5,2619.05
S.S.B. Pharmaceutical,S000670,6/13/2026,Bain Circuit (Paediatric),MK0250126,28-Dec,30049011,2815,523.81,1,523.81
S.S.B. Pharmaceutical,S000670,6/13/2026,Bains Circuit (Adult),,30-Sep,90183990,3222,666.67,1,666.67
S.S.B. Pharmaceutical,S000670,6/13/2026,Kitkath 18G IV Cannula,5482AG,30-Oct,90183990,202.55,7.14,100,714
S.S.B. Pharmaceutical,S000670,6/13/2026,Justin AQ Inj,BDW20A1A,27-Aug,30042019,36.7,23.81,10,238.1
S.S.B. Pharmaceutical,S000670,6/13/2026,Pause Ing 5ML,EM260031,28-Dec,30043110,23.8,8.57,20,171.4
S.S.B. Pharmaceutical,S000670,6/13/2026,Anemol 100ML IV,TH26023200,28-Jan,30049099,73.22,47.62,10,476.2
S.S.B. Pharmaceutical,S000670,6/13/2026,Sterile Water,2243942,30-Jun,30041060,595.61,33.33,15,499.95
S.S.B. Pharmaceutical,S000670,6/13/2026,Ondem Inj,OND25321SR,27-Oct,30041020,146.25,109.52,2,219.04
S.S.B. Pharmaceutical,S000670,6/13/2026,Xone 1G Inj,26180066,27-Oct,30041020,12.72,9.7,15,97
S.S.B. Pharmaceutical,S000670,6/13/2026,Spinocan Needle 23,24L20G8216,29-Oct,300490,66.64,25.71,25,385.65
S.S.B. Pharmaceutical,S000670,6/13/2026,Planin 400 Inj,2B250011,27-Apr,30049099,3167,461.9,2,923.8
S.S.B. Pharmaceutical,S000688,6/15/2026,Glycine 3000ML (INFU),I.64008,Feb-29,30067000,708,190.48,4,761.92
S.S.B. Pharmaceutical,S000688,6/15/2026,Dispovan 5ML Syringe,618054SK,31-Mar,30041020,0,2.76,200,552
S.S.B. Pharmaceutical,S000688,6/15/2026,Lox 2% Adrenaline 30 ML,SU1478507,27-Jan,30039034,33.6,25.71,20,514.2
S.S.B. Pharmaceutical,S000688,6/15/2026,Supridol 50MG,KP1287042,27-Sep,30049099,12.56,4.3,20,86
S.S.B. Pharmaceutical,S000688,6/15/2026,Anawin Heavy 4ML,KP1713925,27-Dec,30039034,31.47,24.76,25,619
S.S.B. Pharmaceutical,S000688,6/15/2026,Axosoft 10CM 3M,AXL10625,30-May,5601,252,47.62,15,714.3
S.S.B. Pharmaceutical,S000688,6/15/2026,Gauzesthan 24MTR S W,,,3005,700,380.95,3,1142.85
S.S.B. Pharmaceutical,S000688,6/15/2026,4U Cannula Fixator 6CM x 8CM,GS0601,30-May,30049099,130,5.71,50,285.5
Vivekananda Medical Distributors,F/684,5/1/2026,Romojet 10 ML Syng,G25L020522,30-Nov,90183100,20,3.76,10,39.48
Vivekananda Medical Distributors,F/684,5/1/2026,BD Venflon I-18G 1.2x45MM,5301827,30-Sep,90183930,321,55,5,288.76
Vivekananda Medical Distributors,F/684,5/1/2026,Bardia Fole 2W 18FR,MYJP2082,28-Nov,90183990,163.13,120.95,2,254
Vivekananda Medical Distributors,F/684,5/1/2026,Bardia Fole 2W 20FR,MYHN2800,27-Dec,90183990,174,120.95,2,254
Vivekananda Medical Distributors,F/684,5/1/2026,Bardia 3Way Foley 18FR,MYHU2557,28-May,901839,448,291.42,1,306
Vivekananda Medical Distributors,F/684,5/1/2026,Bardia 3Way Fole 20FR,MKGX1372,27-Aug,90183990,448,291.42,2,611.98
Vivekananda Medical Distributors,F/684,5/1/2026,Bardia 3Way Fole 22FR,MYJY4575,29-Oct,90183990,491,291.42,2,611.98
Vivekananda Medical Distributors,F/684,5/1/2026,Silko Cath FG14,G25L010149,30-Nov,90183990,842,130,1,136.5
Vivekananda Medical Distributors,F/684,5/1/2026,Silko Cath 16FG,G25L010148,30-Nov,90183990,905,130,1,136.5
Vivekananda Medical Distributors,F/685,5/1/2026,Silko Cath FG 18,G25I010484,30-Aug,90183990,905,130,1,136.5
Vivekananda Medical Distributors,F/685,5/1/2026,Silko Cath FG-20,G230210523,28-Jan,901839,815,130,1,136.5
Vivekananda Medical Distributors,F/747,5/3/2026,Uro Bag (Romo-10),G26A050071,30-Dec,90183910,361,35,10,367.5
Vivekananda Medical Distributors,F/747,5/3/2026,Sterile Gauze,12,26-Nov,30061010,14,5.46,120,687.96
Vivekananda Medical Distributors,F/747,5/3/2026,Romojet 10 ML Syng,G25L020522,30-Nov,90183100,20,3.76,50,197.4
Vivekananda Medical Distributors,F/747,5/3/2026,Romojet 5ML Syng,G25H02015,30-Jul,90183100,10.31,2.5,100,262.5
Vivekananda Medical Distributors,F/747,5/3/2026,Water For Inj 10ML,2242524,27-Jun,30049099,3.24,2.51,50,131.78
Vivekananda Medical Distributors,F/747,5/3/2026,Surgicare Gloves 6.5,26C3005,Feb-31,40151100,91,19.06,125,2501.62
Vivekananda Medical Distributors,F/747,5/3/2026,Surgicare Gloves 7,26C9006M,Feb-31,40151100,91,19.06,125,2501.62
Vivekananda Medical Distributors,F/747,5/3/2026,Surgicare Gloves 7.5,26C9006M,Feb-31,40151100,91,19.06,50,1000.66
Vivekananda Medical Distributors,F/747,5/3/2026,Surgicare Gloves 8,24G2012,29-Jun,40151100,97,90.94,40,800.52
Vivekananda Medical Distributors,F/747,5/3/2026,Surgicare Gloves 8,24L8001M,29-Nov,40151100,97,90.94,60,1200.78
Vivekananda Medical Distributors,F/748,5/3/2026,Surgicare Gloves 6,25K5152,30-Oct,40151100,97,19.06,25,500.32
Vivekananda Medical Distributors,F/748,5/3/2026,Lox 2% Inj,L1739,27-Nov,30039034,34.58,27,20,567
Vivekananda Medical Distributors,F/748,5/3/2026,NS 100 ML,6C4007,29-Jan,30049099,21,13,50,682.5
Vivekananda Medical Distributors,F/748,5/3/2026,RL 500ML,P6050120,28-Feb,30049099,60.35,30,50,1575
Vivekananda Medical Distributors,F/748,5/3/2026,NS PP 500 ML,5C342094,28-Nov,30049099,37.25,21.06,50,1105.66
Vivekananda Medical Distributors,F/748,5/3/2026,NS 1000ML,N26E3029,28-Dec,30049099,62.22,35,24,882
Vivekananda Medical Distributors,F/897,5/11/2026,Lox 2% Adrenaline,SU1478482,26-Aug,30049099,35.87,26.5,5,139.12
Vivekananda Medical Distributors,F/897,5/11/2026,Suction Catheter 14G,G25K010732,30-Oct,90183990,98,18,5,94.5
Vivekananda Medical Distributors,F/897,5/11/2026,Cloneon Inj,259,26-Oct,30049076,97,65,5,341.26
